INFO 2024-07-30 15:00:01,472 autoreload Watching for file changes with StatReloader
DEBUG 2024-07-30 15:00:01,712 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related_lookups.py first seen with mtime 1721638515.1874278
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1721638515.0969331
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\email\header.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,713 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1721638513.8918314
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\output.py first seen with mtime 1721638512.8771758
DEBUG 2024-07-30 15:00:01,714 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1721638513.423879
DEBUG 2024-07-30 15:00:01,715 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\mimetypes.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,715 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\termcolors.py first seen with mtime 1721638515.287228
DEBUG 2024-07-30 15:00:01,716 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1721638515.2602327
DEBUG 2024-07-30 15:00:01,716 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1721638513.4318614
DEBUG 2024-07-30 15:00:01,716 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1721638515.1423874
DEBUG 2024-07-30 15:00:01,717 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1721638515.0949385
DEBUG 2024-07-30 15:00:01,717 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\migrations\migration.py first seen with mtime 1721638515.1672885
DEBUG 2024-07-30 15:00:01,717 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\DLLs\_wmi.pyd first seen with mtime 1717683002.0
DEBUG 2024-07-30 15:00:01,717 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\asyncio\selector_events.py first seen with mtime 1717682952.0
DEBUG 2024-07-30 15:00:01,718 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\MySQLdb\__init__.py first seen with mtime 1721809829.3594148
DEBUG 2024-07-30 15:00:01,718 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1721638515.1398182
DEBUG 2024-07-30 15:00:01,718 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\backends\base.py first seen with mtime 1721638515.256243
DEBUG 2024-07-30 15:00:01,718 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1721638515.1894221
DEBUG 2024-07-30 15:00:01,719 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1721638513.7750034
DEBUG 2024-07-30 15:00:01,719 autoreload File C:\Users\alamm\AppData\Local\Programs\Python\Python312\Lib\site-packages\MySQLdb\_mysql.cp312-win_amd64.pyd first seen with mtime 1721809829.366397
